location,x translate,y translate
"Redwood City, CA",10,-40
"San Francisco, CA",10,-45
"Seattle, WA",10,0
"Sunnyvale, CA",35,10
"Mountain View, CA",40,0
"Redmond, WA",5,-10
"Bellevue, WA",5,10
"Menlo Park, CA",30,-10
"Cupertino, CA",43,18
"New York, NY",5,10
"Los Gatos, CA",30,45
"Hillsboro, OR",5,10
"San Jose, CA",45,35
"Palo Alto, CA",55,30
"Austin, TX",5,-10
"Boston, MA",5,3
"San Diego, CA",10,0
"Santa Clara, CA",20,-25
"Irvine, CA",10,0
"Pittsburgh, PA",5,0
"Los Angeles, CA",10,0
"Portland, OR",5,-5
"Boulder, CO",5,0
"Pleasanton, CA",10,-28
"Philadelphia, PA",5,0
"Minneapolis, MN",5,5
"Chicago, IL",5,0
"Denver, CO",5,5
"Plano, TX",10,10
"Dallas, TX",5,20
"Raleigh, NC",5,0
"Cambridge, MA",5,-5
"Atlanta, GA",5,-5
"Houston, TX",15,15
"Arlington, VA",5,0
